Sorszám;Munka;Neme;Életkor;Megvalósító vagy célkijelölő;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
59;['audi kommunikációs osztáy'];nő;44;megvalósító;nap-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;bak;ikrek;nyilas;nyilas;oroszlán;rák;szűz;skorpió;nyilas;mérleg;4;4;nincs hazur;nincs hazur;1;nincs hazur;10;11;nincs hazur;nincs hazur;9;4;4;9;4;4;11;10;1;3;4;2;-;konjukcio;konjukcio;-;oppozicio;trigon;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;oppozicio;trigon;-;-;-;-;oppozicio;trigon;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60;['kórházban laborban'];nő;27;megvalósító;hold;kiszolgáltatott;+ nap;a hold nem sérült;hold;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;mérleg;mérleg;skorpió;oroszlán;skorpió;halak;bak;bak;skorpió;9;1;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;11;1;nincs hazur;1;1;11;12;1;9;1;4;3;3;1;-;-;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;konjukcio;-;-
61;[];nő;28;célkijelölő;nap;önfeláldozó;+ nap;a hold nem sérült;nap;pluto (kvadrát);ikrek;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;halak;rák;vízöntő;halak;vízöntő;skorpió;halak;bak;bak;skorpió;nincs hazur;3;3;10;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;6;nincs hazur;10;3;10;11;10;6;10;9;9;6;-;konjukcio;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;oppozicio;oppozicio;trigon;-;konjukcio;-;konjukcio;-;-;kvadrat;-;trigon;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;konjukcio;-;-
62;['?'];nő;59;célkijelölő;jupiter-szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;halak;bika;ikrek;ikrek;rák;oroszlán;szűz;skorpió;nyilas;nyilas;bak;vízöntő;rák;halak;ikrek;oroszlán;bika;halak;vízöntő;oroszlán;skorpió;szűz;nincs hazur;nincs hazur;3;3;1;4;nincs hazur;2;1;1;nincs hazur;11;4;1;3;5;2;1;11;6;8;6;-;-;-;-;-;-;-;-;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;oppozicio;-;kvadrat;-;-;-;-;-;-;-;-;-;oppozicio;-;kvadrat;-;-;-;-
63;['?'];nő;43;célkijelölő;nap-mars;önfeláldozó;+ nap;a hold nem sérült;nap;szaturnusz (oppozíció);ikrek;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;halak;halak;halak;bak;vízöntő;oroszlán;szűz;skorpió;nyilas;mérleg;nincs hazur;10;10;10;10;10;3;4;nincs hazur;nincs hazur;nincs hazur;8;10;10;10;8;10;3;4;6;6;5;konjukcio;-;-;-;-;oppozicio;-;-;-;-;-;konjukcio;-;oppozicio;-;-;-;-;-;-;-;trigon;kvadrat;-;-;oppozicio;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
64;['?'];nő;33;megvalósító;nap;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;bika;nyilas;bika;bika;ikrek;ikrek;bak;bak;bak;skorpió;8;nincs hazur;9;nincs hazur;4;nincs hazur;9;nincs hazur;nincs hazur;3;8;8;8;3;8;8;9;9;4;3;4;2;-;-;konjukcio;-;-;-;trigon;trigon;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;trigon;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-
65;['?'];férfi;55;megvalósitó;jupiter;kiszolgáltatott;a nap nem sérült;+ hold;hold;vénusz (kvadrát);ikrek;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;ikrek;vízöntő;rák;bika;ikrek;rák;halak;szűz;skorpió;szűz;1;9;1;1;nincs hazur;nincs hazur;1;11;nincs hazur;nincs hazur;nincs hazur;11;1;9;1;11;1;1;11;4;6;4;-;-;-;-;-;-;kvadrat;-;kvadrat;-;kvadrat;-;-;-;-;kvadrat;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-
66;[];nő;27;megvalósitó;hold;kiszolgáltatott;+ nap;a hold nem sérült;nap;szaturnusz (kvadrát);oroszlán;oroszlán;szűz;mérleg;nyilas;bak;vízöntő;vízöntő;halak;kos;ikrek;rák;ikrek;kos;rák;rák;bika;skorpió;halak;bak;bak;skorpió;11;11;11;nincs hazur;nincs hazur;8;nincs hazur;nincs hazur;4;nincs hazur;nincs hazur;9;11;9;11;12;10;4;8;6;6;4;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;kvadrat;kvadrat;-;-;-;-;trigon;-;-;-;-;-;trigon;-;oppozicio;-;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;konjukcio;-;-
67;['titkárnő'];nő;48;célkijelölő;nap-mars;önfeláldozó;+ nap;- hold;ASC;Nincs anaréta;szűz;szűz;mérleg;skorpió;bak;vízöntő;halak;halak;kos;bika;rák;oroszlán;bak;oroszlán;bak;vízöntő;bika;vízöntő;ikrek;mérleg;nyilas;mérleg;nincs hazur;nincs hazur;nincs hazur;9;nincs hazur;11;6;6;nincs hazur;6;12;5;5;12;5;6;9;6;11;3;4;2;-;konjukcio;-;-;-;-;-;-;-;-;oppozicio;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;konjukcio;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
68;['zongorista kísérő'];nő;59;célkijelölő;jupiter-szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;nyilas;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;bak;mérleg;vízöntő;nyilas;oroszlán;halak;vízöntő;szűz;skorpió;szűz;nincs hazur;2;nincs hazur;8;1;1;nincs hazur;10;2;nincs hazur;nincs hazur;nincs hazur;2;10;2;1;8;3;2;9;11;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;oppozicio;-;oppozicio;-;-;-;-;konjukcio;-
69;['?'];férfi;34;megvalósitó;nap;kiszolgáltatott;a nap nem sérült;+ hold;nap;mars (kvadrát);rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;bika;rák;bika;ikrek;vízöntő;bika;bak;bak;bak;skorpió;1;1;11;nincs hazur;12;nincs hazur;6;6;nincs hazur;nincs hazur;8;nincs hazur;11;1;11;12;8;11;6;6;7;5;-;konjukcio;-;kvadrat;konjukcio;trigon;trigon;trigon;-;-;-;-;-;-;-;oppozicio;trigon;-;kvadrat;konjukcio;trigon;trigon;trigon;oppozicio;trigon;-;-;-;-;-;kvadrat;-;-;-;kvadrat;trigon;-;trigon;oppozicio;konjukcio;konjukcio;-;-;-;-
70;['építőipar'];nő;53;célkijelölő;jupiter;kiszolgáltatott;+ nap;a hold nem sérült;nap;szaturnusz (kvadrát);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;rák;kos;rák;oroszlán;rák;szűz;kos;szűz;skorpió;szűz;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;11;10;10;9;7;10;nincs hazur;10;7;9;10;10;11;7;12;2;12;-;-;konjukcio;konjukcio;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-
71;['autószerelő'];férfi;44;célkijelölő;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;mars (kvadrát);nyilas;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;mérleg;skorpió;mérleg;szűz;rák;rák;oroszlán;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;nincs hazur;nincs hazur;10;12;10;9;8;8;10;12;10;9;8;7;9;11;1;10;-;konjukcio;-;kvadrat;-;-;-;-;konjukcio;-;-;trigon;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;-
72;['Elnök'];-;213;célkijelölő;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;szűz;mérleg;skorpió;bak;vízöntő;halak;halak;kos;bika;rák;oroszlán;vízöntő;bak;halak;kos;mérleg;halak;nyilas;skorpió;nyilas;halak;nincs hazur;nincs hazur;8;nincs hazur;4;nincs hazur;8;8;3;nincs hazur;5;6;6;5;7;8;3;8;4;3;4;7;-;-;-;trigon;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;kvadrat;trigon;kvadrat;konjukcio;-;-;trigon;-;trigon;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;trigon;kvadrat
73;['Pszichológiai tanulmányok'];Nő;19;megvalósító;;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;nap;pluto (oppozíció);mérleg;mérleg;skorpió;bak;vízöntő;halak;kos;kos;bika;rák;oroszlán;szűz;ikrek;ikrek;ikrek;rák;rák;rák;ikrek;vízöntő;vízöntő;nyilas;10;10;nincs hazur;9;nincs hazur;nincs hazur;10;10;nincs hazur;9;9;9;9;9;9;10;10;10;9;5;5;3;-;-;-;-;-;konjukcio;-;trigon;oppozicio;konjukcio;-;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-
74;['Orvosi tanulmányok'];Nő;22;célkijelölő;;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;rák;szűz;oroszlán;szűz;skorpió;bika;bika;vízöntő;vízöntő;nyilas;1;nincs hazur;nincs hazur;6;nincs hazur;nincs hazur;nincs hazur;9;8;nincs hazur;9;1;8;10;9;9;1;6;6;3;3;1;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;trigon;-;-;-;-;-;kvadrat;kvadrat;oppozicio;oppozicio;-;-;trigon;-;-;-;-;oppozicio;-;-;kvadrat;-;-;-;kvadrat;-;kvadrat;-;-;-;-;-
75;['Kereskedelem'];Nő;22;célkijelölő;;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;vízöntő;mérleg;vízöntő;bak;halak;kos;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;7;8;9;nincs hazur;nincs hazur;nincs hazur;4;5;1;5;5;1;5;4;7;8;9;5;5;3;trigon;konjukcio;-;-;kvadrat;kvadrat;-;konjukcio;-;trigon;kvadrat;-;-;-;-;trigon;-;-;-;-;kvadrat;konjukcio;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;kvadrat;kvadrat;-;-;-;-
76;['Katonai pálya'];Nő;25;célkijelölő;;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;halak;bika;ikrek;ikrek;rák;oroszlán;szűz;skorpió;nyilas;nyilas;bak;vízöntő;skorpió;vízöntő;nyilas;mérleg;szűz;bak;kos;vízöntő;bak;nyilas;11;nincs hazur;nincs hazur;nincs hazur;12;8;9;6;nincs hazur;nincs hazur;nincs hazur;1;8;12;9;7;6;11;1;11;11;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;kvadrat;-;-;-;-;konjukcio;-;kvadrat;-;-;kvadrat;-;trigon;-;-;-;kvadrat;-;-;-;-;-;-;-;konjukcio;-;-
77;['Katona', ' nyomozó', ' városüzemeltetésnél igazgatóhelyettes', ' politikai pálya'];Férfi;53;megvalósitó;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;mars (oppozíció);oroszlán;oroszlán;szűz;mérleg;skorpió;bak;vízöntő;vízöntő;halak;kos;bika;rák;nyilas;kos;nyilas;bak;mérleg;mérleg;kos;mérleg;skorpió;szűz;5;5;nincs hazur;nincs hazur;nincs hazur;10;nincs hazur;nincs hazur;nincs hazur;3;6;9;5;9;5;6;3;3;10;3;5;3;trigon;konjukcio;-;-;-;-;-;-;-;trigon;kvadrat;oppozicio;-;-;oppozicio;-;-;-;-;-;-;-;konjukcio;-;kvadrat;-;kvadrat;-;-;trigon;-;oppozicio;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;-;-
78;['Coach tanácsadó'];Nő;49;megvalósitó;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;bak;rák;nyilas;oroszlán;ikrek;oroszlán;bak;ikrek;mérleg;nyilas;szűz;10;nincs hazur;4;nincs hazur;9;9;6;nincs hazur;6;nincs hazur;4;4;6;9;6;4;6;10;4;7;9;7;-;-;-;-;-;-;-;trigon;-;-;-;trigon;-;-;-;konjukcio;-;-;konjukcio;-;-;-;-;-;-;-;konjukcio;trigon;-;-;-;-;-;-;-;-;-;-;kvadrat;trigon;-;-;-;-;-
79;['Fotós'];Férfi;31;célkijelölő;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;bak;szűz;bak;szűz;oroszlán;ikrek;oroszlán;bak;bak;bak;skorpió;nincs hazur;3;nincs hazur;nincs hazur;12;12;7;6;nincs hazur;6;nincs hazur;nincs hazur;7;12;7;6;3;6;11;11;11;8;-;-;-;-;-;-;trigon;trigon;-;trigon;-;-;oppozicio;-;-;-;-;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-
80;['Költő'];-;144;megvalósító;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;ikrek;rák;rák;oroszlán;szűz;skorpió;nyilas;bak;bak;vízöntő;halak;bika;nyilas;ikrek;nyilas;bak;halak;bak;halak;oroszlán;bika;bika;nincs hazur;1;1;6;6;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;8;8;6;1;6;8;11;8;10;4;12;12;-;konjukcio;-;-;-;-;kvadrat;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;trigon;-;konjukcio;-;-;-;-;trigon;trigon;-;-;-;-;-;-;-
81;['Bolti eladó', ' kereskedelmi vállalkozó'];Nő;47;célkijelölő;nap-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;vízöntő;vízöntő;vízöntő;vízöntő;halak;bak;halak;rák;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;nincs hazur;11;11;12;12;10;12;4;4;nincs hazur;12;11;11;12;10;12;4;7;8;7;-;konjukcio;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;trigon;-;-;-;-;-;-;trigon;-;konjukcio;-;-;kvadrat;-;-;oppozicio;-;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-
82;['Kereskedelmi vállalkozó'];Férfi;49;megvalósító;jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;vízöntő;halak;kos;bika;ikrek;ikrek;oroszlán;szűz;mérleg;skorpió;nyilas;nyilas;kos;nyilas;skorpió;skorpió;bak;ikrek;mérleg;nyilas;mérleg;nincs hazur;6;1;12;nincs hazur;nincs hazur;nincs hazur;1;1;12;nincs hazur;nincs hazur;1;4;1;12;12;1;6;9;1;9;trigon;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-
83;['Tudós', ' misztikus'];-;535;megvalósitó;szaturnusz;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;szűz;nyilas;szűz;oroszlán;ikrek;bak;nyilas;nyilas;nyilas;mérleg;2;2;1;nincs hazur;5;nincs hazur;4;nincs hazur;11;nincs hazur;nincs hazur;4;2;4;2;1;11;5;4;5;4;3;-;-;-;-;-;-;kvadrat;kvadrat;-;-;trigon;oppozicio;-;konjukcio;-;konjukcio;-;-;-;kvadrat;-;kvadrat;-;-;-;-;trigon;-;trigon;-;-;-;-;oppozicio;-;-;konjukcio;-;-;-;konjukcio;-;-;-;-
84;['Színész'];-;86;célkijelölő;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;mars (kvadrát);szűz;mérleg;skorpió;nyilas;vízöntő;halak;halak;kos;bika;ikrek;oroszlán;szűz;skorpió;kos;mérleg;szűz;bak;skorpió;halak;bika;szűz;rák;nincs hazur;1;4;nincs hazur;nincs hazur;3;3;nincs hazur;nincs hazur;2;2;nincs hazur;2;7;2;1;4;3;6;8;1;12;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;trigon;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-
85;['Szabadúszó '];Nő;30;célkijelölő;nap;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;ikrek;mérleg;rák;mérleg;oroszlán;mérleg;szűz;vízöntő;bak;bak;skorpió;1;4;4;4;nincs hazur;3;nincs hazur;7;7;nincs hazur;3;nincs hazur;4;1;4;3;4;3;7;6;6;5;kvadrat;konjukcio;-;-;-;trigon;kvadrat;kvadrat;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;trigon;kvadrat;-;-;-;konjukcio;-;-;-;kvadrat;-;-;-;kvadrat;-;-;trigon;-;-;-;-;-;konjukcio;-;-
86;['Szállodai kereskedelem és marketing'];Férfi;25;megvalósitó;;önfeláldozó;a nap nem sérült;a hold nem sérült;hold;mars (kvadrát);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;szűz;kos;mérleg;rák;rák;bak;kos;vízöntő;bak;nyilas;2;nincs hazur;12;nincs hazur;nincs hazur;nincs hazur;9;5;12;nincs hazur;3;9;2;9;3;12;12;5;9;6;6;4;-;-;-;-;trigon;-;-;-;-;-;kvadrat;kvadrat;-;-;kvadrat;kvadrat;-;-;-;kvadrat;oppozicio;trigon;trigon;-;konjukcio;-;-;oppozicio;oppozicio;-;-;-;oppozicio;oppozicio;-;kvadrat;-;-;-;-;-;trigon;konjukcio;-;-
87;['Rendőr'];Férfi;45;célkijelölő;nap-mars;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;ikrek;oroszlán;ikrek;oroszlán;oroszlán;szűz;bika;oroszlán;skorpió;nyilas;mérleg;12;12;2;2;nincs hazur;nincs hazur;2;2;nincs hazur;11;nincs hazur;nincs hazur;2;12;2;2;3;11;2;5;6;4;-;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;konjukcio;kvadrat;trigon;-;-;-;konjukcio;-;trigon;-;-;-;-;kvadrat;-;-;-;-;-;kvadrat;trigon;-;-;-;-
88;['Tanítónő'];Nő;51;célkijelölő;jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;szaturnusz (oppozíció);bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;ikrek;skorpió;ikrek;oroszlán;rák;mérleg;bika;mérleg;skorpió;szűz;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;5;10;6;7;7;7;9;6;10;5;7;7;9;4;9;11;8;-;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;trigon;oppozicio;-;-;kvadrat;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-;-
89;['Riporter', ' zongoraművész '];-;86;célkijelölő;szaturnusz;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;oroszlán;oroszlán;rák;szűz;skorpió;skorpió;halak;bika;szűz;rák;2;1;1;3;4;nincs hazur;9;nincs hazur;5;nincs hazur;nincs hazur;nincs hazur;1;2;1;3;4;5;9;10;3;1;-;-;-;kvadrat;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;konjukcio;-;-;-;-;konjukcio;-;-;trigon;oppozicio;-;kvadrat;trigon;-;-;-;-;oppozicio;-;-;-;-
