Sorszám;Munka;Neme;Életkor;Megvalósító vagy célkijelölő;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
90;['Vallási segítő', ' gyógyító', ' kártya vető', ' theta healing szakember'];Nő;65;megvalósító;szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;ikrek;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;oroszlán;skorpió;szűz;rák;halak;szűz;skorpió;oroszlán;mérleg;oroszlán;5;6;6;4;nincs hazur;nincs hazur;5;nincs hazur;nincs hazur;6;nincs hazur;nincs hazur;4;6;5;2;11;5;6;3;6;4;kvadrat;-;-;-;-;kvadrat;-;-;konjukcio;-;-;trigon;-;konjukcio;trigon;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;trigon;-;kvadrat;kvadrat;-;-
91;['Gyógytornász', ' egyetemi tanár'];Nő;32;célkijelölő;nap;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;kos;vízöntő;bika;halak;vízöntő;rák;bak;bak;bak;skorpió;nincs hazur;nincs hazur;3;nincs hazur;8;4;4;nincs hazur;3;6;7;nincs hazur;6;3;7;4;4;8;3;2;3;1;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;trigon;oppozicio;-;-;-;-;-;trigon;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;konjukcio;-;-
92;['Történelem tanár'];Nő;59;célkijelölő;jupiter-szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;mérleg;skorpió;nyilas;bak;halak;halak;kos;bika;ikrek;rák;szűz;szűz;rák;bika;ikrek;oroszlán;bika;halak;vízöntő;oroszlán;skorpió;szűz;10;8;nincs hazur;nincs hazur;5;5;nincs hazur;nincs hazur;8;7;nincs hazur;nincs hazur;9;7;8;10;8;5;4;11;1;11;-;-;-;-;trigon;-;-;-;-;-;kvadrat;-;-;kvadrat;-;oppozicio;trigon;-;-;kvadrat;trigon;-;-;kvadrat;-;-;oppozicio;-;-;-;-;-;kvadrat;-;-;-;-;trigon;oppozicio;-;kvadrat;-;-;-;-
93;['Hivatásos sportoló (kosárlabda)'];Férfi;23;megvalósitó;;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;szaturnusz (kvadrát);bika;ikrek;rák;oroszlán;oroszlán;mérleg;skorpió;nyilas;bak;vízöntő;vízöntő;kos;bak;vízöntő;bak;vízöntő;mérleg;halak;kos;vízöntő;vízöntő;nyilas;10;nincs hazur;10;10;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;6;10;10;9;10;6;11;12;10;10;7;-;-;-;kvadrat;-;kvadrat;-;konjukcio;-;-;-;-;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;oppozicio;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;-
94;['Szakács'];Férfi;30;megvalósító;nap;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;bak;vízöntő;halak;kos;bika;bika;rák;oroszlán;szűz;mérleg;skorpió;rák;rák;oroszlán;szűz;oroszlán;oroszlán;vízöntő;bak;bak;skorpió;9;nincs hazur;2;9;nincs hazur;nincs hazur;nincs hazur;8;8;9;9;9;8;8;9;9;9;9;2;2;2;1;konjukcio;-;-;-;-;-;oppozicio;oppozicio;-;-;-;-;-;-;oppozicio;oppozicio;-;-;-;konjukcio;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-
95;['Néptánc tanár', ' Pék'];Nő;49;célkijelölő;jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;neptun (kvadrát);ikrek;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;halak;skorpió;halak;vízöntő;bak;vízöntő;ikrek;mérleg;nyilas;mérleg;nincs hazur;6;6;11;11;10;9;1;1;nincs hazur;nincs hazur;nincs hazur;11;6;11;10;8;9;1;6;7;5;-;-;-;-;-;-;-;kvadrat;-;trigon;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;kvadrat;-;kvadrat;-;trigon;-;oppozicio;-;-;-;-
96;['Angol tanár (ált. Iskola)'];Nő;44;megvalósitó;nap-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;nap;mars (oppozíció);kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;vízöntő;bak;bika;bak;bak;oroszlán;ikrek;oroszlán;skorpió;nyilas;mérleg;5;nincs hazur;10;2;2;11;11;nincs hazur;3;nincs hazur;nincs hazur;6;11;2;10;11;5;3;6;7;9;7;-;-;konjukcio;oppozicio;-;-;-;-;-;-;-;-;-;kvadrat;oppozicio;-;-;-;-;oppozicio;trigon;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97;['Pultos', ' külföldön szállodai alkalmazott', ' könyvelő'];Nő;32;megvalósitó;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;hold;vénusz (oppozíció);oroszlán;szűz;szűz;mérleg;nyilas;bak;vízöntő;halak;halak;kos;ikrek;rák;mérleg;ikrek;mérleg;nyilas;mérleg;rák;bak;bak;bak;skorpió;3;nincs hazur;nincs hazur;5;nincs hazur;5;nincs hazur;12;12;nincs hazur;3;11;3;11;3;5;3;12;5;5;5;4;-;-;-;konjukcio;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;kvadrat;kvadrat;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;oppozicio;-;konjukcio;konjukcio;-;konjukcio;-;-
98;['Asztrológus', ' orientalista'];-;131;célkijelölő;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;rák;szűz;ikrek;oroszlán;skorpió;vízöntő;oroszlán;mérleg;ikrek;ikrek;2;3;nincs hazur;10;nincs hazur;nincs hazur;nincs hazur;8;11;8;nincs hazur;9;8;11;8;9;2;3;10;12;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;konjukcio;konjukcio;-;oppozicio;-;-;-;-;-;-;-;oppozicio;-;-;-;trigon;trigon;-;kvadrat;kvadrat;-;-;konjukcio
99;['Költő', ' katona'];-;467;célkijelölő;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;mérleg;kos;mérleg;nyilas;oroszlán;mérleg;halak;mérleg;bika;halak;nincs hazur;nincs hazur;nincs hazur;12;9;nincs hazur;nincs hazur;12;12;nincs hazur;1;nincs hazur;12;5;12;1;9;12;4;12;6;3;-;-;-;-;-;-;konjukcio;-;-;-;-;trigon;oppozicio;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-
100;['Tűzoltó', ' pszichotronika'];Férfi;45;célkijelölő;nap-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;halak;kos;bika;ikrek;ikrek;rák;szűz;mérleg;skorpió;nyilas;bak;bak;bak;halak;bak;bika;oroszlán;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;5;1;3;1;1;2;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;2;1;3;1;5;8;12;1;10;konjukcio;-;-;-;trigon;-;-;-;-;-;-;-;trigon;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;kvadrat;-;trigon;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;-
101;['Polgármesteri hivatali ügyintéző'];Nő;42;célkijelölő;nap-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;vízöntő;skorpió;rák;nyilas;nyilas;oroszlán;szűz;szűz;skorpió;nyilas;mérleg;6;8;nincs hazur;4;4;8;nincs hazur;nincs hazur;nincs hazur;6;6;nincs hazur;8;4;8;8;6;6;6;8;9;7;trigon;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;konjukcio;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;kvadrat;-;-;-;-
102;['Cukrász'];Nő;36;megvalósitó;nap-jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;szűz;skorpió;nyilas;bak;vízöntő;halak;halak;bika;ikrek;rák;rák;oroszlán;oroszlán;ikrek;rák;vízöntő;skorpió;nyilas;bak;skorpió;12;1;1;nincs hazur;7;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;1;12;1;1;11;12;7;4;5;5;4;-;-;-;konjukcio;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;-;-;-;-;kvadrat;trigon;-;-;-;trigon;-;oppozicio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-
103;['Borászatban adminisztrátor '];Nő;35;célkijelölő;nap-jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;vízöntő;halak;kos;bika;ikrek;ikrek;oroszlán;szűz;mérleg;skorpió;nyilas;nyilas;oroszlán;nyilas;skorpió;halak;halak;nyilas;nyilas;bak;skorpió;3;nincs hazur;nincs hazur;3;nincs hazur;1;1;1;nincs hazur;12;nincs hazur;3;1;8;1;12;3;3;1;1;1;10;-;-;-;-;-;-;konjukcio;konjukcio;-;-;kvadrat;-;-;-;-;-;kvadrat;-;kvadrat;kvadrat;konjukcio;konjukcio;-;-;-;-;-;-;-;konjukcio;konjukcio;kvadrat;kvadrat;-;-;kvadrat;kvadrat;-;-;-;-;-;-;-;-
104;['Iparjogi ügyintéző'];Nő;67;célkijelölő;szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;oroszlán;szűz;mérleg;skorpió;bak;vízöntő;vízöntő;halak;kos;bika;rák;mérleg;szűz;skorpió;skorpió;vízöntő;rák;skorpió;rák;mérleg;oroszlán;4;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;4;4;nincs hazur;7;5;2;4;2;4;5;7;12;4;12;4;2;-;-;-;kvadrat;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;konjukcio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;kvadrat;oppozicio;-;oppozicio;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-
105;['Beteg gondozó'];Nő;55;célkijelölő;jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;mars (oppozíció);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;bak;kos;bak;vízöntő;mérleg;rák;halak;szűz;skorpió;szűz;4;1;nincs hazur;6;nincs hazur;10;nincs hazur;nincs hazur;4;7;4;nincs hazur;4;7;4;4;1;10;6;12;2;12;-;konjukcio;-;kvadrat;oppozicio;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;kvadrat;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;oppozicio;trigon;oppozicio;-;konjukcio;-
106;['Géplakatos '];Férfi;68;célkijelölő;szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;neptun (oppozíció);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;halak;kos;halak;halak;nyilas;ikrek;skorpió;rák;mérleg;oroszlán;nincs hazur;nincs hazur;9;1;nincs hazur;nincs hazur;2;6;nincs hazur;7;5;5;5;7;5;6;2;9;1;9;1;11;-;-;-;kvadrat;kvadrat;trigon;trigon;-;-;-;-;-;-;-;kvadrat;oppozicio;trigon;-;-;-;trigon;-;-;-;-;-;-;trigon;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-
107;['Kereskedelmi asszisztens '];Nő;52;célkijelölő;jupiter;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;mc (kvadrát);skorpió;skorpió;bak;vízöntő;halak;kos;bika;bika;rák;oroszlán;szűz;mérleg;ikrek;bika;ikrek;bika;nyilas;szűz;bika;szűz;skorpió;szűz;nincs hazur;nincs hazur;nincs hazur;7;11;2;nincs hazur;nincs hazur;7;8;nincs hazur;7;8;7;8;7;2;11;7;11;2;11;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;konjukcio;-;-;-;-;oppozicio;trigon;-;trigon;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;konjukcio;-
108;['Mezőgazdasági gép értékesítő', ' mezőgazdasági mérnök'];Férfi;41;célkijelölő;nap-jupiter;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;oroszlán;szűz;szűz;skorpió;nyilas;bak;vízöntő;halak;halak;bika;ikrek;bak;mérleg;bak;nyilas;bak;mérleg;mérleg;skorpió;nyilas;mérleg;4;6;nincs hazur;nincs hazur;7;nincs hazur;4;nincs hazur;4;4;nincs hazur;6;6;4;6;5;7;4;4;5;6;4;kvadrat;konjukcio;-;-;kvadrat;kvadrat;-;-;-;kvadrat;-;trigon;-;-;-;kvadrat;-;-;-;kvadrat;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;konjukcio;-;-;-;-;-;-;-;-;-
109;['Szociális munkás', ' alapítvány vezető'];Nő;39;megvalósitó;nap-jupiter;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;kos;nyilas;kos;bika;kos;nyilas;skorpió;nyilas;nyilas;mérleg;8;nincs hazur;8;3;nincs hazur;2;nincs hazur;nincs hazur;9;nincs hazur;3;8;8;3;8;9;8;3;2;3;4;2;trigon;konjukcio;-;-;trigon;-;trigon;-;-;trigon;-;-;konjukcio;-;konjukcio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;trigon;oppozicio;-;konjukcio;-;-;-;-;konjukcio;-;-;-
110;['Ügyvéd'];Férfi;51;megvalósitó;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;asc (oppozíció);bak;halak;kos;bika;ikrek;ikrek;rák;szűz;mérleg;skorpió;nyilas;nyilas;rák;rák;rák;oroszlán;rák;mérleg;bika;mérleg;skorpió;szűz;4;nincs hazur;7;nincs hazur;6;6;7;nincs hazur;7;nincs hazur;9;9;6;7;6;7;7;9;4;8;10;8;-;konjukcio;-;-;-;-;kvadrat;-;-;-;-;konjukcio;kvadrat;-;-;trigon;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;kvadrat;-;kvadrat;-;-;trigon;-;-;-;-;-;-;-;trigon;-;-;-
111;['Ruhabolt tulajdonos és eladó', ' vállalkozó'];Nő;73;célkijelölő;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;ikrek;kos;halak;halak;halak;kos;bak;szűz;ikrek;mérleg;oroszlán;9;10;10;nincs hazur;10;nincs hazur;3;nincs hazur;nincs hazur;7;nincs hazur;9;10;9;9;10;10;7;3;12;4;2;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;oppozicio;trigon;-;-;-;-;-;-;kvadrat;-;-;konjukcio;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
112;['Vállalkozó', ' ruhabolt tulajdonos'];Nő;53;célkijelölő;jupiter;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;Nincs anaréta;ikrek;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;szűz;vízöntő;mérleg;mérleg;oroszlán;szűz;kos;szűz;skorpió;szűz;5;9;4;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;11;11;4;nincs hazur;4;9;5;5;3;4;11;5;6;5;-;-;-;-;konjukcio;-;-;-;-;trigon;trigon;-;-;-;trigon;-;-;konjukcio;-;-;-;konjukcio;-;-;-;-;-;konjukcio;-;-;-;-;-;kvadrat;-;-;-;-;konjukcio;-;-;-;-;konjukcio;-
113;['Lakberendező'];Nő;41;megvalósitó;nap-jupiter;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;mars (oppozíció);skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;kos;mérleg;halak;halak;kos;mérleg;mérleg;nyilas;nyilas;mérleg;5;nincs hazur;11;nincs hazur;11;nincs hazur;nincs hazur;nincs hazur;11;5;4;5;5;11;4;5;5;11;11;1;2;12;oppozicio;-;konjukcio;konjukcio;oppozicio;oppozicio;trigon;kvadrat;-;-;oppozicio;oppozicio;konjukcio;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;konjukcio;-;-;trigon;kvadrat;-;oppozicio;oppozicio;trigon;-;-;konjukcio;-;-;-;-;-;-;-;-;-
114;['Építőipari vállalkozó'];Férfi;54;célkijelölő;jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;jupiter (oppozíció);rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;vízöntő;mérleg;vízöntő;bak;kos;szűz;kos;szűz;skorpió;szűz;5;5;10;9;nincs hazur;nincs hazur;nincs hazur;nincs hazur;11;4;11;8;10;5;9;8;11;4;11;4;6;4;-;konjukcio;-;-;oppozicio;-;-;kvadrat;-;-;-;-;-;oppozicio;-;-;-;-;-;oppozicio;-;-;kvadrat;-;-;-;-;trigon;-;trigon;-;-;oppozicio;trigon;-;-;-;kvadrat;-;-;-;-;-;konjukcio;-
115;['Au pair', ' tanító', ' logisztikus'];Nő;35;megvalósitó;nap-jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;uránusz (kvadrát);ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;kos;halak;mérleg;halak;vízöntő;bika;kos;nyilas;nyilas;bak;skorpió;nincs hazur;nincs hazur;6;11;10;nincs hazur;nincs hazur;nincs hazur;7;nincs hazur;11;nincs hazur;11;6;10;10;12;11;7;8;8;6;-;-;-;-;konjukcio;kvadrat;kvadrat;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;oppozicio;-;kvadrat;kvadrat;-;konjukcio;-;-;-;-;-
116;['Természetgyógyász '];-;82;megvalósitó;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;halak;kos;bika;ikrek;ikrek;rák;szűz;mérleg;skorpió;nyilas;oroszlán;halak;oroszlán;oroszlán;bak;kos;bika;bika;szűz;oroszlán;3;4;nincs hazur;nincs hazur;8;8;8;2;nincs hazur;nincs hazur;2;3;8;2;8;8;2;3;4;5;9;8;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;oppozicio;-;kvadrat;-;-;konjukcio;-;kvadrat;trigon;-;oppozicio;-;-;-;trigon;-;-;kvadrat;trigon;-;-
117;['Asztrológus '];-;83;megvalósító;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;szűz;szűz;szűz;skorpió;szűz;vízöntő;kos;bika;szűz;oroszlán;3;nincs hazur;4;nincs hazur;9;12;nincs hazur;9;10;9;nincs hazur;nincs hazur;10;9;9;12;9;3;4;6;9;8;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;konjukcio;-;-;trigon;-;-;-;konjukcio;-;-;trigon;konjukcio;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;-;-
118;['Közigazgatás: Nemzetközi nyugdíj ügyek elbírálása'];Nő;28;megvalósitó;nap;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;nyilas;kos;skorpió;skorpió;nyilas;skorpió;vízöntő;bak;bak;skorpió;8;nincs hazur;8;8;1;9;nincs hazur;nincs hazur;9;nincs hazur;nincs hazur;12;9;1;8;8;9;8;12;11;11;9;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;kvadrat;konjukcio;-;-
119;['Villamossági boltban alkalmazott'];Nő;38;megvalósitó;nap-jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;uránusz (kvadrát);rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;halak;ikrek;halak;vízöntő;skorpió;bak;skorpió;nyilas;bak;skorpió;12;12;10;nincs hazur;9;6;5;5;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;12;10;9;6;7;5;6;6;5;-;konjukcio;-;trigon;-;trigon;kvadrat;-;-;-;-;-;-;-;-;-;-;-;trigon;-;trigon;kvadrat;-;-;kvadrat;-;kvadrat;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-
